OFFICE,PROPERTY_ADDRESS,CITY,STATE_PROVINCE,ZIP_POSTAL_CODE,SALES_VOLUME,ACTUAL_CLOSE_DATE,SALES_ID
0005,1609 Pelton Avenue,Bellevue,NE,68005,"$220,000 ",7/5/2022,10002
0004,16503 Main Street,Bellevue,NE,68123,"$250,000 ",2/11/2022,262
0005,1704 Pelton Avenue,Bellevue,NE,68005,"$202,900 ",11/15/2022,376
0001,1706 Warren Street,Bellevue,NE,68005,"$240,000 ",4/27/2022,92
0005,1707 Avery Road,Bellevue,NE,68005,"$180,000 ",8/19/2022,184
0005,1901 Mayflower Road,Bellevue,NE,68123,"$340,000 ",7/1/2022,296
0004,1903 La Platte Road,Bellevue,NE,68123,"$350,000 ",5/16/2022,281
0001,1905 Arlington Circle,Bellevue,NE,68123,"$305,000 ",7/13/2022,173
0003,1907 Mesa Street,Bellevue,NE,68123,"$290,000 ",11/23/2022,10061
0005,1909 Yorktown Street,Bellevue,NE,68123,"$260,000 ",6/17/2022,493
0004,2003 Hummingbird Drive,Bellevue,NE,68123,"$353,819 ",4/15/2022,262
0005,2005 Crawford Street,Bellevue,NE,68005,"$225,000 ",3/21/2022,353
0005,2006 Greenwald Street,Bellevue,NE,68123,"$376,000 ",9/12/2022,316
0005,2007 Meadowlark Ln,Bellevue,NE,68123,"$390,000 ",9/1/2022,333
0001,2010 Raven Ridge Drive,Bellevue,NE,68123,"$422,092 ",8/9/2022,92
0001,2011 Whitted Drive,Bellevue,NE,68123,"$460,000 ",10/27/2022,335
0001,2011 Whitted Drive,Bellevue,NE,68123,"$460,000 ",10/27/2022,316
0001,202 Forest Drive,Bellevue,NE,68005,"$360,000 ",12/16/2022,66
0005,2020 Hummingbird Drive,Bellevue,NE,68123,"$435,141 ",7/13/2022,334
0004,2023 Calhoun Street,Bellevue,NE,68005,"$167,000 ",6/16/2022,370
0003,206 Marian Avenue,Bellevue,NE,68005,"$295,000 ",11/7/2022,10023
0005,2105 Jefferson Street,Bellevue,NE,68005,"$210,000 ",10/21/2022,333
0001,2106 Lucille Drive,Bellevue,NE,68147,"$275,000 ",2/22/2022,514
0004,2107 Whitted Drive,Bellevue,NE,68123,"$225,000 ",11/30/2022,74
0005,2108 Raven Ridge Drive,Bellevue,NE,68123,"$630,000 ",9/30/2022,10002
0005,2108 Raven Ridge Drive,Bellevue,NE,68123,"$630,000 ",9/30/2022,499
0005,2108 Turtle Dove Drive,Bellevue,NE,68123,"$445,000 ",5/20/2022,333
0004,211 Bellevue Blvd N,Bellevue,NE,68005,"$415,000 ",1/21/2022,382
0004,211 Bellevue Boulevard North,Bellevue,NE,68005,"$407,000 ",3/4/2022,382
0001,2110 Leisure Lane,Bellevue,NE,68005,"$165,000 ",10/7/2022,10043
0005,216 Douglas Drive,Bellevue,NE,68005,"$490,000 ",10/7/2022,296
0005,216 Douglas Drive,Bellevue,NE,68005,"$490,000 ",10/7/2022,223
0001,2203 Coventry Drive,Bellevue,NE,68123,"$235,000 ",4/21/2022,444
0005,2210 Lola Circle,Bellevue,NE,68148,"$475,000 ",2/4/2022,488
0004,2217 Joyce Circle,Bellevue,NE,68005,"$270,000 ",5/18/2022,529
0005,2301 Middletown,Bellevue,NE,68123,"$265,000 ",6/7/2022,296
0005,2303 Coventry Dr,Bellevue,NE,68123,"$260,000 ",6/13/2022,333
0004,2308 Circletown Place,Bellevue,NE,68123,"$271,200 ",5/9/2022,262
0005,2308 Clay Street,Bellevue,NE,68005,"$289,000 ",6/1/2022,223
0001,2308 Denise Circle,Bellevue,NE,68005,"$280,000 ",4/29/2022,92
0001,2350 Olive Street,Bellevue,NE,68147,"$170,000 ",8/5/2022,376
0005,2411 Hogantown Drive,Bellevue,NE,68123,"$250,129 ",5/27/2022,10002
0005,2414 Yorktown Place,Bellevue,NE,68123,"$240,000 ",3/17/2022,376
0001,2502 Main Street,Bellevue,NE,68005,"$200,000 ",9/9/2022,10015
0001,2508 Alberta Avenue,Bellevue,NE,68147,"$285,000 ",7/7/2022,384
0001,2510 Casey Circle,Bellevue,NE,68123,"$280,000 ",6/30/2022,253
0001,2514 Linda Street,Bellevue,NE,68147,"$225,000 ",5/27/2022,10002
0005,2516 Nottingham Drive,Bellevue,NE,68123,"$285,000 ",12/12/2022,376
0001,2517 Jack Pine Street,Bellevue,NE,68123,"$290,000 ",3/14/2022,283
0005,2518 Cornelia Street,Bellevue,NE,68147,"$237,500 ",8/30/2022,332
0001,2524 Mose Avenue,Bellevue,NE,68147,"$142,000 ",1/28/2022,92
0003,2532 Lillian Street,Bellevue,NE,68147,"$149,000 ",6/29/2022,170
0004,2532 Mose Avenue,Bellevue,NE,68147,"$146,500 ",10/31/2022,160
0004,2535 Van Buren Street,Bellevue,NE,68005,"$185,000 ",6/17/2022,518
0005,2603 Hogantown Drive,Bellevue,NE,68123,"$286,000 ",4/6/2022,316
0001,2603 Raven Ridge Drive,Bellevue,NE,68123,"$305,000 ",10/21/2022,316
0001,2613 Gindy Drive,Bellevue,NE,68147,"$300,000 ",4/4/2022,10028
0001,2623 Greene Avenue,Bellevue,NE,68147,"$212,500 ",2/2/2022,160
0005,2701 Josephine Street,Bellevue,NE,68147,"$170,000 ",3/25/2022,332
0004,2703 Georgia Avenue,Bellevue,NE,68147,"$305,000 ",4/15/2022,224
0001,2704 Fairview Street,Bellevue,NE,68147,"$345,000 ",10/31/2022,316
0001,2704 Michaela Street,Bellevue,NE,68123,"$260,000 ",5/27/2022,10045
0004,2710 Franklin Street,Bellevue,NE,68005,"$155,000 ",7/15/2022,83
0001,2713 Edwards Street,Bellevue,NE,68005,"$46,000 ",5/12/2022,335
0004,2714 Annabelle Drive,Bellevue,NE,68123,"$435,000 ",6/13/2022,160
0001,2718 Emiline Street,Bellevue,NE,68147,"$200,000 ",5/31/2022,262
0005,2721 Joann Avenue,Bellevue,NE,68123,"$315,000 ",4/25/2022,493
0005,2722 Lloyd Street,Bellevue,NE,68005,"$180,000 ",9/30/2022,536
0004,2806 Hunter Drive,Bellevue,NE,68123,"$365,500 ",6/17/2022,241
0001,2810 Courtney Circle,Bellevue,NE,68123,"$325,000 ",10/21/2022,316
0001,2815 Greensboro Ave,Bellevue,NE,68005,"$177,778 ",6/30/2022,10050
0001,2832 Lillian Street,Bellevue,NE,68147,"$175,000 ",9/29/2022,92
0005,2901 Redwing Circle,Bellevue,NE,68123,"$260,000 ",8/5/2022,197
0005,2906 Bar Harbor Drive,Bellevue,NE,68123,"$295,000 ",7/7/2022,224
0001,2906 Blackhawk Dr.,Bellevue,NE,68123,"$660,000 ",8/11/2022,10036
0001,2906 Blackhawk Dr.,Bellevue,NE,68123,"$660,000 ",8/11/2022,492
0005,2939 Lone Tree Rd,Bellevue,NE,68123,"$270,000 ",4/29/2022,333
0005,3006 Leawood Drive,Bellevue,NE,68123,"$299,000 ",10/14/2022,520
0001,3006 Leawood Drive,Bellevue,NE,68123,"$225,000 ",7/15/2022,520
0005,3009 Vicki Circle,Bellevue,NE,68005,"$268,000 ",8/22/2022,95
0005,3012 Tammy Street,Bellevue,NE,68123,"$281,000 ",2/25/2022,296
0005,305 Marian Avenue,Bellevue,NE,68005,"$320,000 ",5/20/2022,223
0005,305 Oakridge Court,Bellevue,NE,68005,"$315,000 ",7/20/2022,335
0001,307 West 19th Avenue,Bellevue,NE,68005,"$151,000 ",6/1/2022,104
0003,309 W 28th Avenue,Bellevue,NE,68005,"$310,000 ",6/30/2022,10023
0003,309 W 28th Avenue,Bellevue,NE,68005,"$310,000 ",6/30/2022,380
0001,310 Fawn Court,Bellevue,NE,68005,"$270,000 ",5/27/2022,387
0001,3108 Sheridan Road,Bellevue,NE,68123,"$270,000 ",9/13/2022,316
0005,3112 Chad Street,Bellevue,NE,68123,"$326,000 ",5/24/2022,316
0005,3112 Jason Circle,Bellevue,NE,68123,"$590,000 ",7/6/2022,376
0005,3112 Jason Circle,Bellevue,NE,68123,"$590,000 ",7/6/2022,296
0001,3119 Coffey Avenue,Bellevue,NE,68123,"$260,000 ",2/25/2022,303
0005,32 Martinview Road,Bellevue,NE,68005,"$148,000 ",9/22/2022,184
0005,3208 Lookingglass Dr,Bellevue,NE,68123,"$250,500 ",3/1/2022,184
0005,3308 Granada Parkway,Bellevue,NE,68123,"$238,000 ",6/10/2022,493
0005,3308 Jessie Marie Drive,Bellevue,NE,68123,"$251,000 ",9/16/2022,224
0005,3318 Jason Drive,Bellevue,NE,68123,"$272,000 ",7/1/2022,224
0001,3341 Harrison Street,Bellevue,NE,68147,"$215,000 ",7/25/2022,438
0001,3345 Harrison Street,Bellevue,NE,68147,"$286,000 ",7/27/2022,399
0001,3406 Comstock Avenue,Bellevue,NE,68123,"$216,501 ",4/20/2022,226
0005,3406 Henery Road,Bellevue,NE,68123,"$255,000 ",10/14/2022,335
0005,3407 Henery Road,Bellevue,NE,68123,"$270,000 ",7/6/2022,224
0005,3503 Sheridan Circle,Bellevue,NE,68123,"$285,000 ",7/1/2022,318
0001,3513 Comstock Avenue,Bellevue,NE,68123,"$185,000 ",7/5/2022,10015
0001,3515 Comstock Avenue,Bellevue,NE,68123,"$434,000 ",7/1/2022,318
0001,3515 Comstock Avenue,Bellevue,NE,68123,"$434,000 ",7/1/2022,223
0004,3710 Groves Road,Bellevue,NE,68048,"$230,000 ",3/14/2022,490
0005,3717 Leawood Drive,Bellevue,NE,68123,"$470,000 ",4/15/2022,296
0005,3717 Leawood Drive,Bellevue,NE,68123,"$470,000 ",4/15/2022,296
0005,3720 Gayle Avenue,Bellevue,NE,68123,"$165,000 ",4/7/2022,10002
0003,3720 Greene Avenue,Bellevue,NE,68147,"$225,000 ",2/1/2022,70
0004,3720 Pinehill Road,Bellevue,NE,68123,"$284,000 ",11/23/2022,262
0001,3805 Joann Avenue,Bellevue,NE,68123,"$280,000 ",6/3/2022,513
0004,4003 Fox Ridge Circle,Bellevue,NE,68123,"$1,234,000 ",8/25/2022,520
0004,4003 Fox Ridge Circle,Bellevue,NE,68123,"$1,234,000 ",8/25/2022,97
0001,407 W 27th Avenue,Bellevue,NE,68005,"$200,000 ",4/11/2022,438
0001,409 West 30th Avenue,Bellevue,NE,68005,"$123,000 ",3/2/2022,10026
0004,410 West 29th Avenue,Bellevue,NE,68005,"$200,000 ",3/17/2022,262
0004,4102 Heartland Drive,Bellevue,NE,68123,"$285,000 ",9/28/2022,10052
0004,4152 High Meadow Lane,Bellevue,NE,68147,"$195,000 ",6/16/2022,362
0001,4214 Barksdale Drive,Bellevue,NE,68123,"$420,033 ",3/15/2022,83
0003,4301 Waterford Avenue,Bellevue,NE,68123,"$330,000 ",8/12/2022,303
0004,4310 Amos Gates Drive,Bellevue,NE,68123,"$560,000 ",5/23/2022,473
0004,4310 Amos Gates Drive,Bellevue,NE,68123,"$560,000 ",5/23/2022,474
0001,4311 Longview Street,Bellevue,NE,68133,"$570,000 ",11/22/2022,514
0001,4311 Longview Street,Bellevue,NE,68133,"$570,000 ",11/22/2022,399
0005,4405 Edgerton Drive,Bellevue,NE,68123,"$340,000 ",4/26/2022,335
0001,4405 Leawood Drive,Bellevue,NE,68123,"$412,990 ",4/20/2022,81
0003,4409 Brook Street,Bellevue,NE,68123,"$550,000 ",2/15/2022,10056
0003,4409 Brook Street,Bellevue,NE,68123,"$550,000 ",2/15/2022,10056
0003,4416 Victoria Ave,Bellevue,NE,68123,"$385,000 ",12/16/2022,10045
0001,4434 Leawood Drive,Bellevue,NE,68133,"$391,990 ",5/12/2022,223
0001,4460 Leawood Drive,Bellevue,NE,68123,"$337,990 ",6/30/2022,184
0001,4609 Borman Street,Bellevue,NE,68157,"$239,000 ",8/5/2022,208
0001,4658 Schroeder Drive,Bellevue,NE,68157,"$240,000 ",7/15/2022,10043
0003,4813 Lillian,Bellevue,NE,68157,"$252,000 ",11/10/2022,70
0001,5017 White Cloud Drive,Bellevue,NE,68157,"$432,000 ",3/24/2022,10056
0001,5017 White Cloud Drive,Bellevue,NE,68157,"$432,000 ",3/24/2022,323
0004,603 W 14th Avenue,Bellevue,NE,68005,"$219,000 ",8/25/2022,531
0001,610 Louisiane Circle,Bellevue,NE,68005,"$310,000 ",1/14/2022,10055
0001,7004 S 41st Ave,Bellevue,NE,68147,"$241,500 ",12/16/2022,10036
0005,702 Terrace Avenue,Bellevue,NE,68005,"$175,000 ",6/15/2022,224
0005,703 Lila Avenue,Bellevue,NE,68005,"$224,000 ",9/30/2022,197
0003,708 Garden Avenue,Bellevue,NE,68005,"$196,000 ",9/9/2022,474
0001,710 Garden Avenue,Bellevue,NE,68005,"$140,000 ",9/16/2022,10020
0003,7113 S 49th Ave Cir,Bellevue,NE,68157,"$470,000 ",6/30/2022,10045
0003,7113 S 49th Ave Cir,Bellevue,NE,68157,"$470,000 ",6/30/2022,333
0005,7124 Sarpy Avenue,Bellevue,NE,68147,"$720,000 ",6/15/2022,224
0005,7124 Sarpy Avenue,Bellevue,NE,68147,"$720,000 ",6/15/2022,92
0001,718 Cedar View Ln,Bellevue,NE,68123,"$262,000 ",10/3/2022,438
0001,7316 Chandler Acres Drive,Bellevue,NE,68147,"$205,000 ",11/2/2022,399
0001,7502 Sarpy Avenue,Bellevue,NE,68147,"$290,000 ",7/22/2022,548
0001,7502 Sarpy Avenue,Bellevue,NE,68147,"$290,000 ",7/22/2022,92
0001,7515 Ira Circle,Bellevue,NE,68147,"$356,100 ",7/11/2022,530
0001,7515 Ira Circle,Bellevue,NE,68147,"$356,100 ",7/11/2022,92
0001,7620 S 25th St,Bellevue,NE,68147,"$215,000 ",12/9/2022,10050
0004,7706 S 30th St,Bellevue,NE,68147,"$215,000 ",1/14/2022,74
0003,7801-7803 S 30th St,Bellevue,NE,68147,"$496,000 ",9/9/2022,70
0001,7802 S 24th St,Bellevue,NE,68147,"$250,000 ",3/16/2022,426
0005,7902 South 22nd Avenue,Bellevue,NE,68147,"$210,000 ",11/29/2022,10002
0004,804 Vannornam Drive,Bellevue,NE,68005,"$245,000 ",6/14/2022,370
0001,805 Vannornam Dr,Bellevue,NE,68005,"$245,000 ",8/26/2022,166
0001,807 Moore Drive,Bellevue,NE,68005,"$299,000 ",10/5/2022,316
0001,8909 S 23rd Street,Bellevue,NE,68147,"$450,000 ",6/22/2022,226
0003,9006 Lee Circle,Bellevue,NE,68147,"$240,000 ",12/15/2022,289
0001,906 Avery Rd,Bellevue,NE,68123,"$243,500 ",12/9/2022,548
0001,910 Hickory Circle,Bellevue,NE,68005,"$180,000 ",9/9/2022,66
0004,910 Kohl Circle,Bellevue,NE,68005,"$275,000 ",10/14/2022,219
0001,910 Thurston Avenue,Bellevue,NE,68123,"$260,000 ",5/16/2022,262
0001,9601 S 26th Street,Bellevue,NE,68147,"$340,000 ",8/22/2022,548
0001,9608 South 26th Ave,Bellevue,NE,68147,"$360,000 ",7/15/2022,237
0001,9608 South 28th Avenue,Bellevue,NE,68147,"$315,000 ",12/7/2022,316
0005,9609 South 22nd Avenue,Bellevue,NE,68147,"$240,000 ",8/29/2022,335
0001,9714 Linden Avenue,Bellevue,NE,68123,"$300,500 ",5/20/2022,417
0004,11057 North 171st Street,Bennington,NE,68007,"$580,756 ",10/27/2022,64
0001,11907 N 158th St,Bennington,NE,68007,"$299,900 ",9/20/2022,400
0001,11918 N 176th Circle,Bennington,NE,68007,"$2,500,000 ",6/30/2022,370
0001,11918 N 176th Circle,Bennington,NE,68007,"$2,500,000 ",6/30/2022,240
0001,12407 North 161st Avenue,Bennington,NE,68007,"$660,000 ",8/19/2022,417
0004,12513 North 161st Avenue,Bennington,NE,68007,"$549,000 ",6/24/2022,74
0004,14487 Wyoming Street,Bennington,NE,68007,"$289,000 ",5/27/2022,10052
0005,14562 Mormon Street,Bennington,NE,68007,"$225,000 ",12/9/2022,161
0001,14624 Craig Street,Bennington,NE,68007,"$276,000 ",4/25/2022,287
